Titel;Staffel;Episode;Disk
Encounter at Farpoint;1;01/02;1
The Naked Now;1;03;1
Code of Honor;1;04;1
The Last Outpost;1;05;2
Where No One Has Gone Before;1;06;2
Lonely Among Us;1;07;2
Justice;1;08;2
The Battle;1;09;3
Hide And Q;1;10;3
Haven;1;11;3
The Big Goodbye;1;12;3
Datalore;1;13;4
Angel One;1;14;4
11001001;1;15;4
Too Short A Season;1;16;4
When The Bough Breaks;1;17;5
Home Soil;1;18;5
Coming of Age;1;19;5
Heart of Glory;1;20;5
The Arsenal of Freedom;1;21;6
Symbiosis;1;22;6
Skin Of Evil;1;23;6
We'll Always Have Paris;1;24;6
Conspiracy;1;25;7
The Neutral Zone;1;26;7
The Child;2;1;1
Where Silence Has Lease;2;2;1
Elementary, Dear Data;2;3;1
The Outrageous Okona;2;4;1
Loud As A Whisper;2;5;2
The Schizoid Man;2;6;2
Unnatural Selection;2;7;2
A Matter Of Honor;2;8;2
The Measure Of A Man;2;9;3
The Dauphin;2;10;3
Contagion;2;11;3
The Royale;2;12;3
Time Squared;2;13;4
The Icarus Factor;2;14;4
Pen Pals;2;15;4
Q Who;2;16;4
Samaritan Snare;2;17;5
Up The Long Ladder;2;18;5
Manhunt;2;19;5
The Emissary;2;20;5
Peak Performance;2;21;6
Shades of Gray;2;22;6
Evolution;3;1;1
The Ensigns of Command;3;2;1
The Survivors;3;3;1
Who Watches The Watchers;3;4;1
The Bonding;3;5;2
Booby Trap;3;6;2
The Enemy;3;7;2
The Price;3;8;2
The Vengeance Factor;3;9;3
The Defector;3;10;3
The Hunted;3;11;3
The High Ground;3;12;3
Deja Q;3;13;4
A Matter of Perspective;3;14;4
Yesterday's Enterprise;3;15;4
The Offspring;3;16;4
Sins of The Father;3;17;5
Allegiance;3;18;5
Captain's Holiday;3;19;5
Tin Man;3;20;5
Hollow Pursuits;3;21;6
The Most Toys;3;22;6
Sarek;3;23;6
Ménage à Troi;3;24;6
Transfigurations;3;25;7
The Best of Both Worlds;3;26;7
The Best of Both Worlds, Part II;4;1;1
Family;4;2;1
Brothers;4;3;1
Suddenly Human;4;4;1
Remember Me;4;5;2
Legacy;4;6;2
Reunion;4;7;2
Future Imperfect;4;8;2
Final Mission;4;9;3
The Loss;4;10;3
Data's Day;4;11;3
The Wounded;4;12;3
Devil's Due;4;13;4
Clues;4;14;4
First Contact;4;15;4
Galaxy's Child;4;16;4
Night Terrors;4;17;5
Identity Crisis;4;18;5
The Nth Degree;4;19;5
Qpid;4;20;5
The Drumhead;4;21;6
Half a Life;4;22;6
The Host;4;23;6
The Mind's Eye;4;24;6
In Theory;4;25;7
Redemption;4;26;7
Redemption II;5;1;1
Darmok;5;2;1
Ensign Ro;5;3;1
Silicon Avatar;5;4;1
Disaster;5;5;2
The Game;5;6;2
Unification I;5;7;2
Unification II;5;8;2
A Matter Of Time;5;9;3
New Ground;5;10;3
Hero Worship;5;11;3
Violations;5;12;3
The Masterpiece Society;5;13;4
Conundrum;5;14;4
Power Play;5;15;4
Ethics;5;16;4
The Outcast;5;17;5
Cause And Effect;5;18;5
The First Duty;5;19;5
Cost Of Living;5;20;5
The Perfect Mate;5;21;6
Imaginary Friend;5;22;6
I Borg;5;23;6
The Next Phase;5;24;6
The Inner Light;5;25;7
Time's Arrow;5;26;7
Time's Arrow, Part II;6;1;1
Realm Of Fear;6;2;1
Man Of The People;6;3;1
Relics;6;4;1
Schisms;6;5;2
True Q;6;6;2
Rascals;6;7;2
A Fistful of Datas;6;8;2
The Quality of Life;6;9;3
Chain Of Command, Part I;6;10;3
Chain Of Command, Part II;6;11;3
Ship In A Bottle;6;12;3
Aquiel;6;13;4
Face Of The Enemy;6;14;4
Tapestry;6;15;4
Birthright, Part I;6;16;4
Birthright, Part II;6;17;5
Starship Mine;6;18;5
Lessons;6;19;5
The Chase;6;20;5
Frame of Mind;6;21;6
Suspicions;6;22;6
Rightful Heir;6;23;6
Second Chances;6;24;6
Timescape;6;25;7
Descent;6;26;7
Descent, Part II;7;01;1
Liaisons;7;02;1
Interface;7;03;1
Gambit, Part I;7;04;1
Gambit, Part II;7;05;2
Phantasms;7;06;2
Dark Page;7;07;2
Attached;7;08;2
Force of Nature;7;09;3
Inheritance;7;10;3
Parallels;7;11;3
The Pegasus;7;12;3
Homeward;7;13;4
Sub Rosa;7;14;4
Lower Decks;7;15;4
Thine Own Self;7;16;4
Masks;7;17;5
Eye of the Beholder;7;18;5
Genesis;7;19;5
Journey's End;7;20;5
Firstborn;7;21;6
Bloodlines;7;22;6
Emergence;7;23;6
Preemptive Strike;7;24;6
All Good Things...;7;25/26;7
